"year","title","imdb_id","gross_inflation","rank_unadjusted_inflation"
2011,"The Twilight Saga: Breaking Dawn - Part 1 (2011)","tt1324999",308285000,69
1989,"Look Who's Talking (1989)","tt0097778",306801000,326
2001,"Pearl Harbor (2001)","tt0213149",305883000,162
1992,"Lethal Weapon 3 (1992)","tt0104714",303976000,306
1994,"True Lies (1994)","tt0111503",303876000,299
2000,"Gladiator (2000)","tt0172495",303451000,177
1996,"Jerry Maguire (1996)","tt0116695",303122000,275
1998,"A Bug's Life (1998)","tt0120623",302367000,248
1994,"The Santa Clause (1994)","tt0111070",301794000,303
1979,"The Amityville Horror (1979)","tt0078767",299474000,726
2009,"Star Trek (2009)","tt0796366",299280000,84
1981,"Arthur (1981)","tt0082031",298867000,638
1998,"The Waterboy (1998)","tt0120484",298657000,252
1983,"Terms of Endearment (1983)","tt0086425",298286000,526
1931,"Frankenstein (1931)","tt0021884",298286000,3659
2009,"The Blind Side (2009)","tt0878804",296960000,86
2005,"King Kong (2005)","tt0360717",295881000,126
1992,"A Few Good Men (1992)","tt0104257",295590000,320
2000,"What Women Want (2000)","tt0207201",295380000,189
2000,"The Perfect Storm (2000)","tt0177971",295380000,190
1992,"Sister Act (1992)","tt0105417",293494000,331
2013,"Gravity (2013)","tt1454468",293210000,73
1999,"The Matrix (1999)","tt0133093",292854000,222
1999,"Tarzan (1999)","tt0120855",292854000,223
2015,"The Hunger Games: Mockingjay - Part 2 (2015)","tt1951266",290000000,70
2006,"The Da Vinci Code (2006)","tt0382625",289557000,128
1989,"Honey, I Shrunk the Kids (1989)","tt0097523",287078000,377
2007,"The Bourne Ultimatum (2007)","tt0440963",287049000,117
2013,"Monsters University (2013)","tt1453405",286790000,74
2012,"The Amazing Spider-Man (2012)","tt0948470",286357000,76
1979,"Star Trek: The Motion Picture (1979)","tt0079945",285263000,782
2002,"Men in Black II (2002)","tt0120912",284509000,174
1995,"Pocahontas (1995)","tt0114148",284000000,319
2005,"Wedding Crashers (2005)","tt0396269",283666000,143
2001,"Ocean's Eleven (2001)","tt0240772",281290000,187
1997,"As Good as It Gets (1997)","tt0119822",280523000,296
2006,"300 (2006)","tt0416449",280260000,140
2005,"Charlie and the Chocolate Factory (2005)","tt0367594",279594000,146
1999,"Big Daddy (1999)","tt0142342",279154000,243
1968,"Romeo and Juliet (1968)","tt0063518",278931000,1693
2011,"The Hangover Part II (2011)","tt1411697",278663000,88
2005,"Batman Begins (2005)","tt0372784",278237000,150
2001,"Jurassic Park III (2001)","tt0163025",278216000,193
2007,"National Treasure: Book of Secrets (2007)","tt0465234",278198000,121
2010,"Despicable Me (2010)","tt1323594",277871000,89
1990,"Teenage Mutant Ninja Turtles (1990)","tt0100758",277660000,350
2014,"Captain America: The Winter Soldier (2014)","tt1843866",276867000,81
2001,"Planet of the Apes (2001)","tt0133152",276678000,197
2008,"Hancock (2008)","tt0448157",276267000,115
2013,"The Hobbit: The Desolation of Smaug (2013)","tt1170358",276089000,82
1987,"Good Morning, Vietnam (1987)","tt0093105",275908000,428
2014,"The Lego Movie (2014)","tt1490017",274737000,83
2007,"Alvin and the Chipmunks (2007)","tt0952640",274404000,131
1994,"The Flintstones (1994)","tt0109813",272655000,378
2014,"The Hobbit: The Battle of the Five Armies (2014)","tt2310332",271542000,87
2008,"WALL·E (2008)","tt0910970",271421000,119
1988,"Coming to America (1988)","tt0094898",270949000,392
1991,"The Silence of the Lambs (1991)","tt0102926",270713000,376
1980,"Airplane! (1980)","tt0080339",269732000,763
1986,"The Karate Kid, Part II (1986)","tt0091326",269677000,483
2000,"Meet the Parents (2000)","tt0212338",267941000,235
1996,"Ransom (1996)","tt0117438",267692000,345
1996,"101 Dalmatians (1996)","tt0115433",267692000,346
1998,"Doctor Dolittle (1998)","tt0118998",267122000,308
1981,"Stripes (1981)","tt0083131",266946000,739
1993,"Sleepless in Seattle (1993)","tt0108160",266884000,406
1974,"The Godfather: Part II (1974)","tt0071562",266583000,1236
1979,"The Muppet Movie (1979)","tt0079588",265853000,856
2006,"Superman Returns (2006)","tt0348150",265649000,159
1999,"The Mummy (1999)","tt0120616",265453000,265
2011,"Pirates of the Caribbean: On Stranger Tides (2011)","tt1298650",264401000,101
1994,"Dumb & Dumber (1994)","tt0109686",264330000,400
1996,"The Rock (1996)","tt0117500",263756000,359
1971,"Fiddler on the Roof (1971)","tt0067093",263636000,1454
2002,"Ice Age (2002)","tt0268380",263546000,213
2006,"Happy Feet (2006)","tt0366548",262992000,164
2001,"A Beautiful Mind (2001)","tt0268978",262845000,225
2010,"Shrek Forever After (2010)","tt0892791",262433000,103
1983,"Flashdance (1983)","tt0085549",262105000,647
1973,"Papillon (1973)","tt0070511",261983000,1342
2004,"The Day After Tomorrow (2004)","tt0319262",261981000,180
2005,"Madagascar (2005)","tt0351283",261950000,169
1997,"Good Will Hunting (1997)","tt0119217",261569000,338
1998,"Rush Hour (1998)","tt0120812",261556000,323
1967,"The Born Losers (1967)","tt0061420",261000000,1962
2014,"Transformers: Age of Extinction (2014)","tt2109248",260894000,95
2008,"Kung Fu Panda (2008)","tt0441773",260515000,135
2007,"Ratatouille (2007)","tt0382932",260494000,147
1999,"Runaway Bride (1999)","tt0163187",260315000,279
1998,"Deep Impact (1998)","tt0120647",259701000,325
2012,"Brave (2012)","tt1217209",259033000,104
2006,"Ice Age: The Meltdown (2006)","tt0438097",259008000,167
1989,"Back to the Future Part II (1989)","tt0096874",258589000,459
1980,"Coal Miner's Daughter (1980)","tt0080549",258413000,824
1986,"Star Trek IV: The Voyage Home (1986)","tt0092007",257951000,519
2014,"Maleficent (2014)","tt1587310",256634000,100
1991,"City Slickers (1991)","tt0101587",256247000,426
2002,"Chicago (2002)","tt0299658",256059000,226
1992,"The Bodyguard (1992)","tt0103855",255759000,434
1992,"Wayne's World (1992)","tt0105793",255759000,435
2013,"Fast & Furious 6 (2013)","tt1905041",255756000,102
2009,"Alvin and the Chipmunks: The Squeakquel (2009)","tt1231580",255200000,122
1994,"Clear and Present Danger (1994)","tt0109444",253923000,432
1996,"The Nutty Professor (1996)","tt0117218",253914000,386
1963,"From Russia with Love (1963)","tt0057076",253835000,2577
2001,"Hannibal (2001)","tt0212985",253622000,240
2000,"X-Men (2000)","tt0120903",253414000,261
2000,"Scary Movie (2000)","tt0175142",253414000,262
2005,"Mr. & Mrs. Smith (2005)","tt0356910",252449000,181
1998,"Godzilla (1998)","tt0120685",252281000,347
1994,"Speed (1994)","tt0111257",251842000,438
2013,"Oz the Great and Powerful (2013)","tt1623205",251476000,105
1990,"The Hunt for Red October (1990)","tt0099810",250922000,433
1998,"Patch Adams (1998)","tt0129290",250426000,351
2000,"What Lies Beneath (2000)","tt0161081",250186000,264
1994,"The Mask (1994)","tt0110475",249761000,446
1983,"Trading Places (1983)","tt0086465",249676000,694
2003,"Elf (2003)","tt0319343",249602000,217
2014,"X-Men: Days of Future Past (2014)","tt1877832",249180000,109
1991,"Hook (1991)","tt0102057",247981000,449
1992,"Basic Instinct (1992)","tt0103772",247373000,463
2004,"The Bourne Supremacy (2004)","tt0372183",246570000,214
2002,"Catch Me If You Can (2002)","tt0264464",245577000,241
1989,"Ghostbusters II (1989)","tt0097428",245441000,499
2013,"Star Trek Into Darkness (2013)","tt1408101",245055000,113
1990,"Total Recall (1990)","tt0100802",244752000,453
1996,"The Birdcage (1996)","tt0115685",244072000,427
1988,"Big (1988)","tt0094737",243431000,485
1990,"Die Hard 2 (1990)","tt0099423",242695000,466
2009,"Sherlock Holmes (2009)","tt0988045",242440000,144
2004,"National Treasure (2004)","tt0368891",242367000,218
2005,"Hitch (2005)","tt0386588",241591000,204
1999,"The Blair Witch Project (1999)","tt0185937",241476000,324
1998,"Lethal Weapon 4 (1998)","tt0122151",241151000,385
1989,"The Little Mermaid (1989)","tt0097757",241058000,518
1997,"My Best Friend's Wedding (1997)","tt0119738",240719000,404
1999,"Stuart Little (1999)","tt0164912",239764000,328
2002,"Die Another Day (2002)","tt0246460",239587000,256
2012,"Ted (2012)","tt1637725",239359000,125
2010,"How to Train Your Dragon (2010)","tt0892769",239278000,129
1988,"Twins (1988)","tt0096320",237080000,503
1997,"Tomorrow Never Dies (1997)","tt0120347",236928000,415
2014,"Big Hero 6 (2014)","tt2245084",236401000,120
2012,"Madagascar 3: Europe's Most Wanted (2012)","tt1277953",236080000,132
1991,"The Addams Family (1991)","tt0101272",235582000,492
2015,"The Martian (2015)","tt3659388",235302000,116
1984,"The Karate Kid (1984)","tt0087538",235107000,684
1999,"The Green Mile (1999)","tt0120689",234626000,344
1989,"Driving Miss Daisy (1989)","tt0097239",234484000,544
2012,"The Lorax (2012)","tt1482459",233894000,137
1998,"The Truman Show (1998)","tt0120382",233731000,412
2008,"Twilight (2008)","tt1099212",231435000,172
2007,"The Simpsons Movie (2007)","tt0462538",231410000,188
1971,"Diamonds Are Forever (1971)","tt0066995",230945000,1625
1985,"The Color Purple (1985)","tt0088939",230856000,652
1988,"Crocodile Dundee II (1988)","tt0092493",230730000,520
2011,"Fast Five (2011)","tt1596343",230391000,141
2009,"Monsters vs. Aliens (2009)","tt0892782",229680000,163
2011,"Mission: Impossible - Ghost Protocol (2011)","tt1229238",229294000,142
2002,"Scooby-Doo (2002)","tt0267913",229105000,276
2009,"Ice Age: Dawn of the Dinosaurs (2009)","tt1080016",228520000,166
1980,"Private Benjamin (1980)","tt0081375",225747000,977
2004,"Shark Tale (2004)","tt0307453",225556000,255
1993,"Indecent Proposal (1993)","tt0107211",224855000,543
1994,"Pulp Fiction (1994)","tt0110912",224785000,531
1982,"48 Hrs. (1982)","tt0083511",224602000,867
1998,"Mulan (1998)","tt0120762",224456000,440
1992,"A League of Their Own (1992)","tt0104694",224313000,535
2001,"American Pie 2 (2001)","tt0252866",222880000,301
2001,"The Fast and the Furious (2001)","tt0232500",222880000,307
2000,"Dinosaur (2000)","tt0130623",222746000,341
1999,"American Beauty (1999)","tt0169547",222638000,381
2014,"Dawn of the Planet of the Apes (2014)","tt2103281",222558000,145
2006,"Casino Royale (2006)","tt0381061",221817000,234
2010,"Tangled (2010)","tt0398286",221635000,157
2013,"Thor: The Dark World (2013)","tt1981115",220443000,148
1983,"WarGames (1983)","tt0086567",219848000,829
1989,"Parenthood (1989)","tt0098067",219144000,619
1972,"Cabaret (1972)","tt0068327",219035000,1659
2002,"Lilo & Stitch (2002)","tt0275847",218623000,300
1994,"Interview with the Vampire: The Vampire Chronicles (1994)","tt0110148",218541000,553
2008,"Madagascar: Escape 2 Africa (2008)","tt0479952",218106000,198
1999,"The World Is Not Enough (1999)","tt0143145",217500000,403
1979,"Moonraker (1979)","tt0079574",217327000,1116
2006,"The Pursuit of Happyness (2006)","tt0454921",216504000,249
2003,"Terminator 3: Rise of the Machines (2003)","tt0181852",216418000,283
2014,"The Amazing Spider-Man 2 (2014)","tt1872181",216169000,152
2013,"World War Z (2013)","tt0816711",216162000,153
1995,"Ace Ventura: When Nature Calls (1995)","tt0112281",216000000,527
1998,"You've Got Mail (1998)","tt0128853",215181000,479
1976,"King Kong (1976)","tt0074751",214845000,1360
1996,"A Time to Kill (1996)","tt0117913",214548000,523
2005,"The Longest Yard (2005)","tt0398165",214446000,260
1993,"In the Line of Fire (1993)","tt0107206",214348000,577
1986,"Back to School (1986)","tt0090685",214100000,679
2014,"Godzilla (2014)","tt0831387",214039000,158
1995,"GoldenEye (1995)","tt0113189",214000000,542
1990,"Dick Tracy (1990)","tt0099422",213901000,564
1980,"Smokey and the Bandit II (1980)","tt0081529",213781000,1040
1985,"Out of Africa (1985)","tt0089755",213456000,722
2007,"Wild Hogs (2007)","tt0486946",212442000,231
1994,"Maverick (1994)","tt0110478",212297000,586
1997,"Face/Off (1997)","tt0119094",212288000,500
1993,"The Pelican Brief (1993)","tt0107798",212246000,600
1992,"Unforgiven (1992)","tt0105695",211735000,595
2002,"xXx (2002)","tt0295701",211136000,322
1991,"Sleeping with the Enemy (1991)","tt0102945",210784000,587
2005,"Fantastic Four (2005)","tt0120667",210374000,270
1984,"Police Academy (1984)","tt0087928",210250000,797
1989,"Dead Poets Society (1989)","tt0097165",210159000,635
2011,"Cars 2 (2011)","tt1216475",209546000,171
2009,"X-Men Origins: Wolverine (2009)","tt0458525",208800000,199
2002,"The Santa Clause 2 (2002)","tt0304669",208141000,333
1998,"Enemy of the State (1998)","tt0120660",207761000,506
2015,"Cinderella (2015)","tt1661199",207438000,156
1984,"Footloose (1984)","tt0087277",207143000,821
1996,"The First Wives Club (1996)","tt0116313",206674000,552
1996,"Phenomenon (1996)","tt0117333",206674000,556
2000,"Crouching Tiger, Hidden Dragon (2000)","tt0190332",206605000,393
2012,"Wreck-It Ralph (2012)","tt1772341",206570000,175
1982,"The Best Little Whorehouse in Texas (1982)","tt0083642",206255000,980
2006,"Over the Hedge (2006)","tt0327084",205878000,269
1944,"Meet Me in St. Louis (1944)","tt0037059",205809000,4176
2015,"Spectre (2015)","tt2379713",205374000,160
2009,"Night at the Museum: Battle of the Smithsonian (2009)","tt1078912",205320000,206
2011,"Sherlock Holmes: A Game of Shadows (2011)","tt1515091",205158000,179
2014,"22 Jump Street (2014)","tt2294449",204455000,170
2008,"Quantum of Solace (2008)","tt0830515",203565000,230
2014,"Teenage Mutant Ninja Turtles (2014)","tt1291150",203390000,173
2000,"Erin Brockovich (2000)","tt0195685",203377000,413
1989,"When Harry Met Sally... (1989)","tt0098635",203365000,670
2004,"I, Robot (2004)","tt0343818",203140000,305
1997,"Batman & Robin (1997)","tt0118688",202810000,536
1996,"Scream (1996)","tt0117571",202738000,569
1993,"Schindler's List (1993)","tt0108052",201949000,634
2000,"Charlie's Angels (2000)","tt0160127",201763000,417
2001,"Lara Croft: Tomb Raider (2001)","tt0146316",201360000,375
2015,"Mission: Impossible - Rogue Nation (2015)","tt2381249",201246000,168
2003,"The Matrix Revolutions (2003)","tt0242653",200547000,332
2003,"Cheaper by the Dozen (2003)","tt0349205",200547000,335
1999,"Double Jeopardy (1999)","tt0150377",200374000,471
2014,"Interstellar (2014)","tt0816692",200196000,176
2000,"Traffic (2000)","tt0181865",200148000,425
2013,"The Croods (2013)","tt0481499",200111000,178
1962,"Dr. No (1962)","tt0055928",200100000,3234
1995,"Casper (1995)","tt0112642",200000000,609
1995,"Jumanji (1995)","tt0113497",200000000,614
1995,"Se7en (1995)","tt0114369",200000000,617
1995,"Die Hard: With a Vengeance (1995)","tt0112864",200000000,621
1986,"Aliens (1986)","tt0090605",199795000,740
2003,"Bad Boys II (2003)","tt0172156",199104000,337
1997,"George of the Jungle (1997)","tt0119190",199020000,554
2012,"Lincoln (2012)","tt0443272",198920000,191
1996,"Eraser (1996)","tt0116213",198801000,592
1999,"Notting Hill (1999)","tt0125439",198661000,476
2011,"Thor (2011)","tt0800369",198575000,194
2000,"Nutty Professor II: The Klumps (2000)","tt0144528",198534000,429
1977,"A Bridge Too Far (1977)","tt0075784",198188000,1423
1984,"Star Trek III: The Search for Spock (1984)","tt0088170",197821000,860
2002,"Minority Report (2002)","tt0181689",197659000,371
1996,"The Hunchback of Notre Dame (1996)","tt0116583",196833000,618
